FirstName,LastName,Position,FinalRating,Acc,Speed,Power,Accuracy,Penalty,ShortPass,LongPass,Agility,Control,Strength,Stealing
Armand,Burgos,Forward,64.546,86,70,48,99,63,62,72,54,56,41,68
Jalen,Brito,Defender,57.499,67,60,52,41,50,67,46,60,64,85,74
Matthias,Lake,Defender,56.967,52,57,41,61,99,55,63,62,67,54,51
Angel,Olivas,Midfield,88.878,84,74,86,93,51,99,99,86,70,92,68
Octavio,Pantoja,Midfield,81.166,77,79,90,99,65,94,83,53,66,71,67
Devontae,Lamar,Goaltender,76.114,98,58,99,55,86,72,57,86,79,74,42
Deangelo,Travis,Defender,71.859,71,70,63,99,85,43,84,69,65,57,68
Maximiliano,Bergman,Forward,74.518,76,59,88,50,62,75,85,99,69,58,73
Myles,Perea,Defender,69.465,71,63,82,59,73,83,64,99,56,66,40
Dandre,Walters,Defender,60.158,57,70,97,56,86,63,44,52,49,57,55
Dane,Abney,Defender,75.05,89,66,71,80,71,79,99,69,60,61,53
Harris,Winslow,Midfield,59.759,71,51,92,58,39,63,51,70,61,68,59
Deandre,Lerma,Forward,71.593,62,36,54,69,60,94,66,83,91,80,77
Giovanny,Whitten,Defender,62.684,54,85,81,78,62,50,76,54,55,63,47
Rocco,Foley,Forward,77.31,53,73,81,75,99,70,72,65,79,86,62
Lester,Hensley,Defender,73.986,87,76,65,80,66,88,70,71,63,59,65
Brett,Field,Forward,73.055,64,74,72,53,67,89,67,97,80,66,54
Kirk,Carmichael,Forward,60.69,72,80,49,57,59,75,83,53,62,35,65
Jacob,Nowak,Forward,69.066,73,60,82,82,74,90,79,69,65,39,40
Efrain,Lord,Goaltender,58.296,58,76,70,63,49,93,53,64,62,39,45
Reed,Pettit,Goaltender,64.413,56,55,60,92,83,58,99,73,41,39,62
Rodney,Byrnes,Midfield,79.305,71,65,76,86,78,89,94,84,65,53,69
Alberto,Lockett,Forward,72.524,64,77,62,56,72,93,99,67,67,45,77
Moises,Keys,Midfield,72.391,73,89,68,89,99,60,74,79,54,64,29
Darion,Werner,Defender,75.715,50,84,95,65,83,77,66,65,73,68,77
Raymond,Fernandez,Defender,64.945,87,81,74,44,59,74,29,66,51,70,87
Carlos,Ramon,Forward,72.657,62,60,71,60,71,74,78,63,50,99,92
Augustine,Robledo,Midfield,71.46,60,76,87,90,81,61,54,80,73,51,58
Dylon,Shuler,Forward,67.471,57,62,85,49,72,71,48,77,55,89,76
Pierce,Spann,Forward,57.765,53,41,70,78,41,73,60,64,64,54,70
Easton,Mullins,Defender,71.194,58,74,56,59,81,77,98,56,61,85,64
Long,Waters,Defender,70.928,79,44,69,73,56,72,94,57,77,67,79
Judah,Fontaine,Defender,61.62,99,71,63,76,59,57,46,48,57,66,55
Cedrick,Muller,Defender,66.54,39,73,53,82,86,53,75,46,58,70,99
Jace,Schrader,Defender,72.922,66,51,81,82,48,79,82,85,80,55,73
Wilson,Brewster,Midfield,53.643,42,63,62,76,54,51,60,46,60,78,45
Justus,Cochran,Defender,72.922,74,32,74,67,66,85,83,84,44,74,99
Armando,Dumas,Defender,73.454,85,73,58,61,61,53,92,58,83,72,90
Brendan,Pickering,Midfield,75.449,55,83,74,48,87,75,83,98,73,60,65
Jabari,March,Forward,65.343,81,50,60,59,53,55,81,82,61,62,81
Richard,Hiatt,Forward,63.349,56,65,46,66,70,43,79,37,83,74,91
Jay,Gilmore,Forward,75.715,92,82,78,60,68,83,66,64,68,71,71
Myron,Rucker,Defender,63.881,54,63,86,72,64,76,37,64,53,66,79
Kellen,Crook,Midfield,77.842,58,59,71,84,79,82,70,72,99,66,79
Kennedy,Burnside,Midfield,62.817,46,76,65,47,86,70,54,56,53,99,54
Deangelo,Benton,Forward,72.125,57,58,80,71,64,84,80,77,63,43,99
Haden,Denny,Midfield,78.507,69,80,96,90,61,62,99,67,56,67,77
Orlando,Novak,Forward,69.332,69,73,67,75,71,61,69,54,66,86,64
Rylee,Weber,Defender,75.316,65,87,45,90,75,77,89,70,86,75,41
Daren,Parson,Goaltender,60.158,54,75,71,75,38,69,63,62,28,81,70
Santana,Rucker,Forward,66.274,52,66,61,89,50,73,63,83,69,64,62
Rory,Zeigler,Defender,76.114,82,76,92,28,99,86,75,74,82,40,72
Fabian,McNeal,Midfield,72.657,54,51,83,89,93,83,82,80,42,50,73
Armando,Gale,Defender,72.391,61,71,84,57,59,68,77,66,44,92,99
Slade,Sharpe,Defender,64.546,98,64,66,75,66,44,45,74,88,49,50
Landon,Canfield,Goaltender,66.008,49,84,75,66,50,55,77,49,55,97,73
Kenyon,Key,Forward,61.753,51,62,56,64,63,70,77,64,68,47,76
Kennedy,Munn,Forward,64.546,77,66,76,88,54,71,64,56,64,51,52
Skylar,Plummer,Forward,63.083,51,46,63,73,72,75,62,77,52,59,78
Emmanuel,Minor,Forward,68.535,59,63,59,59,61,93,95,58,53,74,75
Korbin,Strom,Forward,70.13,62,73,71,81,72,82,59,67,56,61,77
Ayden,Darnell,Defender,64.945,72,62,64,76,58,47,84,68,82,40,69
Deon,Judd,Forward,65.742,57,62,78,65,75,66,61,79,55,35,95
Everardo,Cotton,Forward,61.62,74,51,62,56,60,75,63,66,83,49,58
Austyn,Krause,Midfield,80.634,69,85,84,67,88,68,82,85,77,84,51
Markell,Jennings,Defender,65.875,65,70,60,58,47,63,68,52,77,82,87
Leif,Burnside,Goaltender,58.429,60,62,75,79,83,70,68,40,53,42,41
Kendrick,Riggs,Forward,60.424,42,46,53,71,66,73,64,68,63,76,66
Keagan,Valdivia,Forward,79.97,70,76,78,82,61,99,74,73,73,81,68
Vicente,Richmond,Midfield,74.651,69,73,78,45,71,72,84,74,94,70,65
Stanley,Hemphill,Midfield,62.551,74,60,61,66,69,68,74,61,91,51,29
Coby,Bray,Goaltender,62.684,53,85,49,66,57,60,64,82,97,38,54
Cedric,Gerard,Midfield,67.205,58,53,60,66,57,79,66,58,84,64,94
Malik,Schmidt,Forward,74.518,69,78,53,98,96,63,66,87,71,64,49
Alonzo,Yee,Midfield,65.211,51,83,65,64,64,77,70,51,43,72,84
Tyshawn,Wiseman,Forward,70.13,83,65,50,71,71,61,69,67,83,75,66
Lars,McKay,Defender,68.535,52,74,67,69,99,59,65,51,70,80,63
Jerrod,Zaragoza,Forward,63.881,59,59,61,62,78,65,60,75,54,76,65
Tavon,Dodds,Forward,73.055,60,83,55,79,66,84,83,72,54,64,83
Alden,Lujan,Midfield,75.449,62,82,78,67,60,66,71,75,95,71,74
Dashaun,Majors,Midfield,65.742,49,84,61,54,58,73,81,57,63,84,64
Jonathan,Stack,Midfield,65.742,79,75,62,87,59,52,52,77,65,50,70
Arjun,Huang,Midfield,64.945,76,81,73,57,50,73,51,53,65,56,87
Dominik,Altamirano,Forward,70.529,56,76,64,71,87,87,69,67,59,65,63
Mitchel,Doty,Midfield,73.72,85,85,77,89,50,75,70,77,61,59,60
Dayton,Fugate,Midfield,69.997,63,71,65,66,70,66,56,68,67,89,79
Cesar,Honeycutt,Forward,67.072,73,77,61,36,93,85,47,64,69,71,62
Treyvon,Sizemore,Midfield,64.147,49,59,71,80,70,58,75,71,41,64,78
Mordechai,Painter,Midfield,66.939,77,71,68,81,79,86,51,61,59,54,50
Wyatt,Cagle,Forward,71.194,70,72,64,72,65,83,62,82,65,85,49
Armando,Lamar,Forward,71.061,60,84,85,57,85,55,89,56,46,69,82
Daylon,Vogt,Midfield,69.997,60,79,62,95,89,77,50,68,72,50,58
Cristofer,English,Midfield,72.258,66,74,73,87,66,59,94,84,61,42,71
Dakoda,Shuler,Midfield,69.199,64,60,97,67,59,67,99,72,64,55,50
Asa,Holley,Defender,67.072,72,74,66,57,64,69,81,61,53,55,86
Dustin,Douglas,Defender,74.119,53,57,67,89,92,61,95,68,77,63,69
Emiliano,Oliveira,Midfield,58.03,59,50,62,40,50,53,45,56,57,99,99
Christion,Aguilera,Midfield,62.285,71,56,63,66,78,75,46,57,55,47,88
Jeremy,Landis,Defender,52.18,73,28,61,49,85,62,88,46,50,50,34
Guy,Lehman,Defender,66.806,49,77,57,53,72,61,64,56,81,90,76
Colt,Simmons,Goaltender,57.233,42,58,69,41,67,54,80,51,50,70,82
Dominic,McBride,Defender,52.845,60,48,27,41,66,61,49,45,76,64,94
Bryon,Guthrie,Defender,74.518,60,62,90,73,77,80,54,84,88,67,59
Mackenzie,Perez,Midfield,72.789,75,75,52,72,74,73,91,73,60,55,81
Oliver,Reinhart,Defender,68.668,62,54,48,87,49,75,80,56,90,82,67
Jaylan,Richards,Defender,55.504,41,56,53,99,43,72,69,35,64,60,59
Karson,Lumpkin,Defender,69.332,64,62,58,66,40,99,80,85,51,68,82
Rodolfo,Cano,Midfield,74.518,63,72,99,68,84,80,94,46,66,53,69
Vernon,Bustos,Defender,71.327,62,44,41,74,72,83,85,59,58,93,99
Reagan,Mixon,Midfield,65.476,79,81,36,60,75,77,59,65,72,61,61
Louie,Allred,Defender,57.366,67,53,86,60,54,63,75,34,53,68,52
Steve,Harmon,Midfield,79.039,90,84,69,99,67,60,84,68,63,67,77
Owen,Sauceda,Defender,76.645,59,56,68,68,91,67,94,88,74,64,81
Kole,Keys,Defender,70.396,57,71,92,69,62,82,63,63,76,57,71
Semaj,Foley,Defender,65.078,46,58,50,99,64,71,63,74,75,67,56
Axel,Borden,Forward,71.194,56,52,71,83,46,82,88,63,71,77,80
Ty,Ridley,Goaltender,62.551,58,52,56,77,79,58,45,77,77,59,66
Sincere,Clemens,Defender,61.753,56,76,96,60,82,56,70,62,24,57,59
Alberto,McCarthy,Defender,64.28,67,53,62,64,71,71,79,54,70,69,57
Chauncey,Oakley,Forward,61.62,62,72,69,44,34,67,64,51,74,90,70
Gannon,Tate,Goaltender,73.188,88,60,56,68,73,67,71,85,64,75,77
Jordy,Bagwell,Midfield,79.571,67,78,76,84,70,74,68,78,79,87,71
Nasir,Bearden,Forward,77.177,99,50,88,43,56,67,73,90,77,78,93
Ervin,McGraw,Midfield,69.864,80,59,56,59,60,91,99,60,65,68,62
Kai,Hagen,Defender,71.46,61,64,91,67,58,90,99,60,60,63,58
Reed,Arthur,Midfield,71.593,89,96,73,73,45,57,96,62,50,67,64
Gene,Buchanan,Forward,65.742,53,76,72,66,80,81,90,34,45,69,62
Bryon,Cardona,Midfield,79.97,74,81,71,61,59,68,77,90,76,95,83
Tylor,Sierra,Forward,70.529,60,78,99,60,51,89,74,51,61,68,73
Gregorio,Colon,Midfield,55.238,32,46,39,64,74,60,61,62,45,80,86
Notnamed,Lehman,Defender,66.008,58,72,84,71,84,68,61,59,62,58,53
Elmer,Henning,Goaltender,69.731,99,84,79,78,75,53,61,45,49,82,53
Neal,Hayden,Midfield,56.834,49,66,45,67,54,78,57,53,53,79,60
Kenan,Doughty,Goaltender,70.662,77,77,65,67,65,62,53,54,88,99,58
Cody,Drury,Midfield,74.119,71,65,64,68,76,50,82,68,77,81,89
Hezekiah,Banuelos,Goaltender,60.823,50,35,68,69,69,82,84,62,41,74,57
Riley,Kirkpatrick,Midfield,72.258,72,53,72,63,85,73,99,49,70,62,79
Sean,Falcon,Defender,72.125,77,78,77,78,55,91,78,56,61,60,65
Marc,Varela,Midfield,70.13,49,99,73,62,68,70,72,80,68,59,61
Mark,Hermann,Midfield,77.31,90,62,73,67,96,74,80,70,89,54,60
Marco,Riggs,Midfield,67.338,55,77,44,71,71,68,65,77,77,72,63
Colby,Bull,Midfield,63.748,63,88,86,72,53,69,78,44,44,60,56
Jaylen,Olivas,Forward,76.38,36,76,77,81,83,93,99,72,60,68,63
Jarrett,Cullen,Forward,63.881,67,79,43,52,50,64,87,37,70,78,87
Harris,Cochran,Midfield,69.199,72,65,82,60,89,79,77,51,63,68,48
Ari,Schaffer,Forward,73.587,75,58,67,81,99,76,74,72,66,47,72
Jacoby,Angulo,Defender,60.158,60,55,68,65,75,74,73,40,74,41,61
Jensen,Carvalho,Defender,51.515,47,51,50,50,64,63,50,54,33,82,77
Kian,Fahey,Midfield,64.28,55,85,44,92,76,83,50,77,48,64,43
Jude,Singh,Forward,73.188,75,54,70,75,85,68,88,75,88,58,48
Eleazar,Cline,Forward,68.535,72,49,72,74,99,73,60,53,73,66,58
Dequan,Grooms,Forward,73.454,89,86,84,84,72,60,70,44,81,69,47
Kobe,Riggs,Forward,63.748,67,60,61,79,48,92,65,62,45,77,57
Zachariah,Greco,Forward,57.632,57,68,41,99,74,50,55,64,43,56,60
Jasper,Wheat,Forward,68.269,55,63,79,84,67,70,57,67,66,58,81
Antwan,Holmes,Defender,63.083,62,86,68,60,43,70,78,90,61,27,63
Jaylin,Gage,Defender,73.986,69,48,79,89,72,92,66,68,62,66,79
Thaddeus,Peoples,Goaltender,76.247,86,99,65,41,87,88,49,59,87,70,76
Seamus,Zink,Forward,62.285,43,82,71,68,77,47,44,59,76,63,72
Valentin,Grabowski,Forward,59.094,66,76,44,59,68,78,54,63,35,58,77
Cesar,Riggs,Goaltender,69.465,85,62,66,63,58,59,66,53,65,99,80
Casey,Killian,Forward,71.593,66,50,79,73,95,77,85,60,48,87,52
Neo,Pickering,Midfield,67.87,75,67,77,33,99,48,88,47,79,61,70
Latrell,Bolin,Forward,64.546,56,59,69,82,83,47,75,75,41,57,75
Hugh,Soto,Defender,66.008,74,71,55,68,69,54,66,76,55,61,81
Rashawn,Li,Midfield,73.587,67,77,87,94,85,80,64,79,61,48,45
Nicklaus,Reardon,Midfield,68.003,80,64,68,96,74,73,91,67,45,54,33
Lucas,Deleon,Defender,66.673,71,35,66,83,91,70,70,47,55,73,74
Kieran,Glaser,Defender,65.078,63,62,67,62,71,72,75,42,64,73,72
Marco,Lockett,Defender,66.407,54,67,91,66,68,69,80,70,67,41,60
Trevin,Robinson,Midfield,53.244,45,60,55,56,61,93,42,59,33,63,67
Dario,Phillips,Defender,67.737,79,74,59,71,81,51,70,60,67,72,59
Milo,Chu,Defender,70.263,68,69,83,70,78,58,86,59,74,48,69
Leslie,Howard,Defender,65.609,72,62,50,95,72,80,65,55,52,59,65
Valentin,Sierra,Midfield,64.28,77,55,72,78,48,41,76,92,83,53,42
Zackery,Hawkins,Forward,64.945,49,86,84,64,86,70,62,62,65,58,36
Cale,Ashley,Midfield,74.784,86,52,82,87,75,92,78,65,65,67,47
Prince,Buckner,Forward,73.454,39,75,85,67,73,82,80,50,79,76,80
Emmanuel,Daniel,Defender,77.709,89,76,79,76,80,65,73,65,88,63,64
Theo,Simonson,Forward,76.512,78,62,68,78,77,71,80,69,73,76,77
Anton,Potts,Forward,65.078,72,80,76,94,88,74,85,30,38,56,30
Ismael,Lofton,Midfield,68.535,76,60,59,48,57,87,61,53,78,76,94
Branden,Cooley,Midfield,62.019,53,80,64,38,64,39,83,54,60,79,86
Jason,Gardiner,Defender,49.388,80,48,75,31,45,75,55,41,54,60,41
Nelson,Chavez,Forward,68.668,53,76,59,50,79,86,62,83,70,76,56
Killian,Irwin,Goaltender,64.679,82,64,64,65,44,59,79,65,79,62,57
Ernest,Cowan,Defender,71.593,62,81,60,83,99,65,60,41,69,91,61
Adrien,Limon,Defender,71.593,66,97,70,67,72,64,78,80,60,56,62
Aubrey,Ashley,Forward,67.205,92,47,66,57,81,65,81,65,60,64,61
Keon,Gardiner,Midfield,63.615,55,56,56,77,94,70,71,48,45,69,71
Gregorio,Stack,Defender,67.205,57,73,64,83,57,74,74,86,62,52,57
Noah,Ceballos,Midfield,61.62,33,78,70,53,56,69,60,68,59,82,69
Clint,Blank,Midfield,73.188,52,75,79,74,99,71,64,75,82,53,60
Brenton,Elrod,Forward,57.898,41,67,66,54,68,68,54,60,47,59,85
Walker,Fagan,Midfield,62.551,76,58,37,71,62,69,57,56,71,79,68
Fredrick,Lyles,Defender,52.313,40,53,38,76,59,72,54,53,62,57,63
Shelby,Byrnes,Forward,60.956,30,55,39,57,83,76,78,78,51,82,63
Stephon,Kaiser,Forward,65.476,85,79,63,60,57,67,80,61,51,67,56
Corbin,Burks,Forward,65.609,63,52,68,85,60,72,74,39,91,64,59
Johnnie,Butcher,Forward,70.13,93,75,92,74,72,45,66,63,60,71,50
Shannon,Dowd,Midfield,72.524,90,61,50,57,69,72,94,62,74,65,85
Jalil,Humphries,Forward,65.476,82,67,67,91,85,66,35,65,28,60,80
Nathan,Reynoso,Defender,70.263,89,78,72,72,87,46,58,43,75,64,78
Connor,Moeller,Forward,63.482,61,65,72,64,63,51,62,67,74,67,65
Rodney,Harlow,Defender,66.008,76,48,65,54,56,99,76,55,65,82,54
Javen,Daniel,Forward,68.934,86,67,72,52,99,77,78,61,52,68,40
Hector,Devore,Midfield,65.476,59,69,52,60,84,84,72,70,82,50,44
Alexzander,Harwood,Forward,59.759,41,52,47,51,48,67,52,73,86,74,92
Matteo,Noyes,Midfield,68.801,73,87,65,78,60,77,61,62,89,49,50
Jaret,Correa,Defender,78.906,75,87,83,99,73,67,61,78,66,64,74
Ivan,Singh,Goaltender,63.482,73,63,53,67,37,54,76,99,40,61,88
Bruce,Chu,Forward,63.083,53,62,77,98,69,53,53,57,47,64,75
Isidro,Krause,Midfield,59.493,65,74,52,54,63,59,74,56,64,49,71
Devyn,Allard,Forward,70.396,58,58,74,68,69,57,71,80,60,84,84
Federico,McCallum,Defender,73.72,86,55,74,83,64,85,70,70,80,57,64
Roderick,Martell,Forward,72.789,74,63,70,99,66,56,74,86,63,54,76
Dorien,Oliva,Midfield,61.089,57,55,48,80,75,65,82,74,54,58,45
Zain,Simonson,Midfield,71.992,85,70,80,88,79,55,57,57,54,75,75
Blake,Chance,Defender,67.87,80,92,55,81,71,54,63,74,49,59,66
Bryan,Kimball,Midfield,52.712,55,47,63,43,56,48,75,47,63,48,85
Davis,Cartwright,Goaltender,69.997,70,55,73,65,82,74,62,84,68,69,58
Jalyn,Ball,Midfield,70.529,82,57,88,94,77,59,76,45,57,68,61
Keon,Corrigan,Forward,73.587,82,74,60,76,70,68,58,62,75,91,71
Raul,Bull,Goaltender,71.194,74,66,77,99,48,77,79,81,57,57,54
Dante,Joseph,Defender,60.823,55,78,65,53,57,60,57,52,44,83,87
Frankie,Waller,Forward,72.258,62,65,93,52,90,77,72,79,56,74,57
Eliezer,Chavez,Midfield,68.269,89,47,42,78,64,54,60,95,60,82,76
Kain,Sharp,Defender,69.199,55,75,69,75,72,94,66,41,50,72,85
Armando,Alford,Midfield,71.061,63,82,49,58,58,70,91,75,73,82,67
Jaquez,Foss,Midfield,70.396,52,61,96,78,83,69,66,80,73,35,70
Rigoberto,Anthony,Defender,71.593,86,58,51,79,46,72,97,76,75,80,52
Dominik,McMahon,Defender,71.061,83,66,88,77,54,72,89,61,68,53,57
Kaden,Smoot,Defender,68.668,57,50,65,74,73,70,74,52,62,74,99
Tylor,Moffett,Defender,63.748,65,86,75,70,62,68,70,36,68,45,68
Tanner,Castro,Forward,75.848,73,63,78,79,80,81,69,55,71,76,79
Harris,Norton,Forward,59.759,70,47,65,55,62,82,73,57,45,53,74
Jimmy,Cowan,Defender,68.003,60,66,84,82,68,68,73,64,71,49,60
Brendan,Moore,Forward,60.025,46,84,60,48,54,71,65,71,69,64,53
Aiden,Shin,Goaltender,71.859,66,84,65,84,54,57,76,59,55,78,96
Jonathon,Liang,Forward,70.263,58,62,79,76,76,81,79,45,56,71,79
Dayne,Fulton,Defender,72.125,64,59,58,62,74,85,78,51,70,91,84
Mason,McGraw,Midfield,63.881,46,69,64,47,77,79,65,64,39,70,94
Matteo,Sams,Defender,68.934,61,66,91,60,65,65,68,55,79,66,76
Juwan,Adam,Defender,68.535,85,70,91,75,60,57,35,93,75,62,46
Dylan,Beaty,Forward,67.205,89,70,55,70,53,74,79,73,50,46,80
Mark,Daily,Midfield,63.482,71,83,53,52,72,56,81,54,51,77,61
Donavan,Ledford,Defender,61.62,41,63,65,55,63,57,74,64,72,69,74
Kameron,McQueen,Midfield,62.95,51,65,51,71,64,93,73,39,59,75,66
Jerod,Berg,Midfield,63.083,57,59,61,87,63,47,59,66,57,94,58
Clayton,Paul,Defender,73.587,81,65,76,85,69,85,57,48,56,70,95
Sergio,Snider,Defender,64.413,37,51,64,64,59,84,50,57,62,91,99
Tevin,Dupont,Midfield,68.535,84,48,59,63,78,79,67,60,75,69,67
Douglas,Dodds,Defender,73.055,91,79,72,60,78,61,46,68,93,66,69
Adonis,Hope,Defender,68.801,88,70,74,74,66,60,59,50,63,79,68
Rodney,Stump,Defender,72.789,73,74,67,82,73,85,76,64,80,51,56
Darrion,Pritchett,Defender,64.147,61,81,42,80,83,55,88,48,55,69,54
Zane,Reed,Forward,68.934,79,54,70,78,84,56,68,69,89,55,50
Tyreke,Reid,Defender,70.529,72,63,50,80,57,97,71,59,56,92,67
Elliott,Winslow,Defender,64.014,54,40,87,81,84,55,67,57,59,70,61
Rey,Simmons,Forward,70.928,63,88,60,57,85,60,49,78,81,60,86
Dustin,Mcnulty,Defender,59.094,67,54,67,62,53,84,36,48,56,84,67
August,Chang,Midfield,75.316,96,50,74,66,60,87,69,61,65,85,87
Jack,Cochran,Defender,66.939,71,68,96,73,48,72,66,71,52,67,53
Giovani,Lantz,Midfield,56.967,56,40,64,34,67,84,69,69,71,61,47
Ezra,Guerra,Midfield,67.338,62,71,90,89,87,59,58,56,63,63,42
Erich,Harrell,Forward,60.956,62,73,57,67,63,99,78,76,42,36,39
Ira,McGregor,Midfield,78.374,68,71,99,73,99,72,58,91,75,51,66
Kirk,Rosas,Midfield,70.928,79,72,72,72,83,99,62,47,65,49,67
Kristofer,Lazo,Goaltender,73.321,57,75,58,70,69,54,82,71,65,89,95
Zander,McKinnon,Forward,66.274,79,77,96,53,54,88,61,47,67,61,49
Isiah,Pearce,Goaltender,75.183,82,61,84,78,58,83,72,71,78,67,65
Lukas,Valentine,Goaltender,55.105,81,50,54,56,55,58,43,66,57,50,78
Yusuf,Hurley,Defender,69.731,80,70,60,72,80,49,78,70,86,56,57
Deven,Corbett,Forward,80.9,68,94,65,69,85,99,94,94,82,55,37
Ernesto,Blake,Midfield,70.263,90,63,84,83,56,61,84,70,70,65,36
Edgardo,Redden,Goaltender,70.928,78,85,96,52,67,55,61,87,60,74,52
Carlos,Pond,Midfield,79.837,79,62,75,51,89,66,60,99,81,88,84
Brandon,Lawton,Forward,70.529,76,49,62,71,83,78,89,60,73,62,61
Gabriel,Hayden,Goaltender,60.956,54,61,42,68,84,70,59,90,47,45,72
Finn,Galvez,Defender,54.307,69,46,38,57,67,35,72,68,61,71,58
Ulises,Griswold,Forward,65.211,82,81,61,46,58,67,99,32,61,83,54
Rahul,Heller,Forward,68.801,72,86,90,65,69,70,65,71,57,65,41
Lawson,Saunders,Midfield,66.008,65,54,99,84,48,41,64,87,63,75,50
Zavier,Pond,Midfield,69.465,69,49,47,61,49,77,75,68,85,99,77
Lars,Hurst,Defender,56.568,65,54,50,41,47,79,66,36,70,89,62
Victor,Daniels,Forward,79.172,66,60,89,67,76,88,78,79,86,63,77
George,Cullen,Goaltender,69.066,68,63,50,68,50,61,71,87,71,99,65
Antonio,Foltz,Defender,68.801,82,54,66,86,99,57,73,61,60,47,66
Ameer,Norton,Goaltender,62.817,64,68,76,70,68,78,70,60,75,39,38
Quinton,Stowe,Defender,58.163,73,52,58,64,39,71,74,58,59,57,66
Dwight,Pettit,Midfield,83.028,74,89,80,79,88,65,81,79,79,82,62
Brooks,Donohue,Forward,70.662,76,60,61,66,71,81,60,88,48,55,99
Cale,Blake,Midfield,56.834,54,49,57,50,87,44,59,83,52,65,61
Ismael,Fitzsimmons,Forward,65.211,67,67,68,62,58,69,68,64,67,82,52
Jake,Byrnes,Defender,75.05,71,75,79,81,82,56,82,42,76,99,55
Keelan,Morse,Goaltender,73.853,51,66,59,79,69,79,90,62,86,64,84
Bryson,Kane,Midfield,76.645,69,72,83,63,75,53,90,77,81,80,67
Sebastian,Zhu,Forward,62.019,58,46,70,92,56,75,51,54,50,60,88
Marco,Tafoya,Midfield,74.119,89,67,88,68,82,71,51,66,73,72,64
Jacob,Fredrickson,Defender,75.582,64,67,89,82,79,98,68,70,55,67,63
Clark,Gagnon,Defender,64.679,64,68,70,69,61,50,81,55,80,53,69
Ahmed,Rhoades,Defender,66.806,59,68,78,67,66,78,84,81,42,57,56
Remington,Wooten,Goaltender,85.687,99,93,58,88,74,90,94,81,80,61,60
Mekhi,Still,Defender,58.695,56,55,44,73,73,75,60,68,70,57,44
Chase,Sumner,Defender,76.38,67,55,95,88,70,62,86,96,53,74,62
Isidro,Fowler,Goaltender,60.158,67,57,56,48,65,64,96,60,61,43,69
Zakary,Burnette,Forward,71.726,79,78,80,82,64,80,63,71,61,61,54
James,Friedman,Midfield,75.183,59,94,99,87,60,79,69,58,49,77,68
Clinton,Deal,Forward,63.349,40,65,88,62,55,74,52,61,61,84,68
Hakeem,Montez,Forward,64.147,38,63,50,70,60,66,79,42,57,92,99
Louie,Razo,Defender,74.651,62,44,72,76,58,99,65,74,74,96,75
Marcos,Botello,Goaltender,80.767,95,82,65,89,75,65,99,82,55,78,56
Roderick,Napier,Defender,77.576,89,46,99,99,78,74,64,59,87,55,67
Shamar,Limon,Midfield,75.981,87,68,81,49,60,87,79,64,99,63,68
Joe,Schmitt,Defender,73.454,69,57,57,83,92,77,76,88,80,65,42
Hezekiah,Garner,Defender,62.019,80,39,70,66,55,80,57,49,47,95,62
Lukas,Stowe,Defender,73.587,70,89,87,90,89,68,40,71,75,60,48
Allen,Kraus,Defender,66.54,74,63,86,58,84,53,64,61,61,74,56
Ari,Straub,Goaltender,58.961,55,69,65,66,66,56,81,57,57,52,53
Blaise,Weiner,Defender,74.385,60,56,88,82,59,99,51,87,92,65,54
Isiah,Sorenson,Goaltender,68.668,83,69,58,84,40,85,64,68,63,67,69
Brock,Mojica,Forward,64.014,64,47,72,72,75,51,76,55,66,53,84
Lawson,Cody,Midfield,69.465,65,73,67,72,79,66,83,71,71,51,58
Connor,Vue,Goaltender,69.864,60,50,54,70,75,79,84,70,58,70,89
Collin,Bassett,Midfield,68.003,63,65,81,60,56,53,82,70,58,82,75
Ernest,Briones,Forward,66.141,69,50,64,91,51,79,58,44,76,75,74
Tyriq,Kuntz,Defender,66.54,75,74,65,57,72,70,44,72,65,72,68
Paris,Groff,Forward,65.609,79,53,60,77,65,75,78,56,71,67,46
Deon,Carrier,Midfield,74.385,92,88,43,55,71,62,57,86,79,82,78
Adrien,Field,Defender,54.972,42,49,67,49,60,67,57,50,48,82,76
Alfredo,Gomez,Midfield,79.571,86,92,72,71,46,99,93,90,83,56,44
Clint,McGraw,Defender,61.753,66,57,72,52,68,63,78,50,67,64,61
Steve,Jewell,Defender,65.742,55,81,77,77,53,70,66,83,50,54,62
Julien,Merritt,Goaltender,73.853,83,66,83,81,99,84,51,75,60,42,65
Campbell,Southard,Defender,65.078,86,91,63,50,83,62,76,63,51,50,48
Amir,Wylie,Midfield,63.216,73,47,92,51,81,75,43,62,89,55,41
Moshe,Bull,Defender,69.731,53,66,71,74,73,57,78,66,49,75,96
Adan,Munn,Defender,64.945,90,76,51,88,48,50,63,79,67,47,63
Lyle,Pitts,Defender,73.055,46,98,82,72,73,77,65,79,80,57,54
Cale,Noyes,Defender,68.269,61,96,73,58,69,77,79,71,49,41,73
Armand,Hawes,Defender,64.147,60,76,73,60,82,57,47,69,70,67,55
Christian,Reinhardt,Midfield,74.518,86,66,61,99,80,76,50,56,89,69,62
Tyrone,Pham,Forward,76.778,68,86,84,78,72,78,73,72,62,76,62
Andrew,McQueen,Midfield,71.194,73,60,66,99,73,60,62,64,66,87,59
Kyree,Markham,Midfield,71.859,46,55,86,71,69,94,52,63,81,78,79
Abel,Tsai,Forward,63.881,86,75,63,62,70,67,45,69,62,50,65
Collin,Corley,Defender,68.136,94,88,93,29,99,56,77,49,59,44,58
